2013-2014, Louisville
2013-2014, Arizona
2013-2014, Florida
2013-2014, Virginia
2013-2014, Wisconsin
2013-2014, Wichita STATE
2013-2014, Kansas
2013-2014, Duke
2013-2014, Michigan STATE
2013-2014, Tennessee
2013-2014, Villanova
2013-2014, Michigan
2013-2014, Kentucky
2013-2014, UCLA
2013-2014, Connecticut
2013-2014, Pittsburgh
2013-2014, Creighton
2013-2014, Syracuse
2013-2014, Ohio STATE
2013-2014, Iowa STATE
2013-2014, Oklahoma STATE
2013-2014, Iowa
2013-2014, San Diego STATE
2013-2014, Gonzaga
2013-2014, VCU
2014-2015, Kentucky
2014-2015, Wisconsin
2014-2015, Duke
2014-2015, Arizona
2014-2015, Villanova
2014-2015, Virginia
2014-2015, Gonzaga
2014-2015, Utah
2014-2015, Notre Dame
2014-2015, North Carolina
2014-2015, Oklahoma
2014-2015, Kansas
2014-2015, Wichita STATE
2014-2015, Baylor
2014-2015, Michigan STATE
2014-2015, Iowa STATE
2014-2015, Louisville
2014-2015, Northern Iowa
2014-2015, Ohio STATE
2014-2015, Butler
2014-2015, Xavier
2014-2015, Georgetown
2014-2015, Iowa
2014-2015, Texas
2014-2015, West Virginia
2015-2016, Villanova
2015-2016, North Carolina
2015-2016, Kansas
2015-2016, Virginia
2015-2016, Michigan STATE
2015-2016, Kentucky
2015-2016, Louisville
2015-2016, West Virginia
2015-2016, Purdue
2015-2016, Oklahoma
2015-2016, Indiana
2015-2016, Oregon
2015-2016, Wichita STATE
2015-2016, Xavier
2015-2016, Miami FL
2015-2016, SMU
2015-2016, Duke
2015-2016, Texas A&M
2015-2016, Arizona
2015-2016, Iowa STATE
2015-2016, Gonzaga
2015-2016, Maryland
2015-2016, Iowa
2015-2016, Baylor
2015-2016, Vanderbilt
2016-2017, Gonzaga
2016-2017, Villanova
2016-2017, North Carolina
2016-2017, Kentucky
2016-2017, Florida
2016-2017, Kansas
2016-2017, West Virginia
2016-2017, Wichita STATE
2016-2017, Louisville
2016-2017, Oregon
2016-2017, SMU
2016-2017, Virginia
2016-2017, Baylor
2016-2017, Duke
2016-2017, Saint Mary's
2016-2017, UCLA
2016-2017, Iowa STATE
2016-2017, Arizona
2016-2017, Purdue
2016-2017, Michigan
2016-2017, Wisconsin
2016-2017, Oklahoma STATE
2016-2017, Cincinnati
2016-2017, South Carolina
2016-2017, Butler
2017-2018, Villanova
2017-2018, Virginia
2017-2018, Duke
2017-2018, Cincinnati
2017-2018, Purdue
2017-2018, Michigan STATE
2017-2018, Michigan
2017-2018, North Carolina
2017-2018, Kansas
2017-2018, Gonzaga
2017-2018, Texas Tech
2017-2018, West Virginia
2017-2018, Tennessee
2017-2018, Clemson
2017-2018, Xavier
2017-2018, Ohio STATE
2017-2018, Kentucky
2017-2018, Houston
2017-2018, Penn STATE
2017-2018, Butler
2017-2018, Wichita STATE
2017-2018, Florida
2017-2018, Auburn
2017-2018, TCU
2017-2018, Nevada
2018-2019, Virginia
2018-2019, Gonzaga
2018-2019, Michigan STATE
2018-2019, Duke
2018-2019, Texas Tech
2018-2019, Michigan
2018-2019, North Carolina
2018-2019, Kentucky
2018-2019, Purdue
2018-2019, Tennessee
2018-2019, Auburn
2018-2019, Houston
2018-2019, Virginia Tech
2018-2019, Florida STATE
2018-2019, Iowa STATE
2018-2019, Wisconsin
2018-2019, Kansas
2018-2019, Wofford
2018-2019, LSU
2018-2019, Kansas STATE
2018-2019, Mississippi STATE
2018-2019, Buffalo
2018-2019, Louisville
2018-2019, Maryland
2018-2019, Texas
